state,week,depression,anxiety,addiction,counselling,mental_health,stay_at_home,mask_mandate,gatherings_banned,bars_restaurants_closures,retail_closure,travel_restrictions
Arizona ,2021-07-25,52,89,18,43,45,0,0,0,0,0,0
Arizona ,2021-08-01,53,91,22,37,47,0,0,0,0,0,0
Arizona ,2021-08-08,54,91,21,42,39,0,0,0,0,0,0
Arizona ,2021-08-15,59,91,22,46,42,0,0,0,0,0,0
Arizona ,2021-08-22,56,87,22,42,36,0,0,0,0,0,0
Arizona ,2021-08-29,53,90,21,38,38,0,0,0,0,0,0
Arizona ,2021-09-05,55,84,26,45,37,0,0,0,0,0,0
Arizona ,2021-09-12,63,91,24,41,50,0,0,0,0,0,0
Arizona ,2021-09-19,61,96,22,51,49,0,0,0,0,0,0
Arizona ,2021-09-26,72,86,23,44,40,0,0,0,0,0,0
Arizona ,2021-10-03,48,89,28,39,38,0,0,0,0,0,0
Arizona ,2021-10-10,58,90,21,47,58,0,0,0,0,0,0
Arizona ,2021-10-17,52,82,23,41,47,0,0,0,0,0,0
Arizona ,2021-10-24,63,82,26,44,45,0,0,0,0,0,0
Arizona ,2021-10-31,66,84,18,44,54,0,0,0,0,0,0
Arizona ,2021-11-07,54,84,26,43,51,0,0,0,0,0,0
Arizona ,2021-11-14,61,85,22,39,52,0,0,0,0,0,0
Arizona ,2021-11-21,46,64,25,30,33,0,0,0,0,0,0
Arizona ,2021-11-28,51,80,24,38,40,0,0,0,0,0,0
Arizona ,2021-12-05,52,77,30,38,48,0,0,0,0,0,0
Arizona ,2021-12-12,50,71,18,35,40,0,0,0,0,0,0
Arizona ,2021-12-19,29,70,21,25,29,0,0,0,0,0,0
Arizona ,2021-12-26,48,77,23,24,38,0,0,0,0,0,0
Arizona ,2022-01-02,57,81,24,38,46,0,0,0,0,0,0
Arizona ,2022-01-09,58,83,30,50,40,0,0,0,0,0,0
Arizona ,2022-01-16,59,91,26,38,42,0,0,0,0,0,0
Arizona ,2022-01-23,60,90,29,37,49,0,0,0,0,0,0
Arizona ,2022-01-30,78,90,24,52,54,0,0,0,0,0,0
Arizona ,2022-02-06,72,76,27,45,55,0,0,0,0,0,0
Arizona ,2022-02-13,75,80,28,42,52,0,0,0,0,0,0
Arizona ,2022-02-20,78,88,20,37,50,0,0,0,0,0,0
Arizona ,2022-02-27,69,89,24,42,50,0,0,0,0,0,0
Arizona ,2022-03-06,68,79,33,46,42,0,0,0,0,0,0
Arizona ,2022-03-13,55,74,20,39,50,0,0,0,0,0,0
Arizona ,2022-03-20,68,91,23,40,53,0,0,0,0,0,0
Arizona ,2022-03-27,73,88,27,47,56,0,0,0,0,0,0
Arizona ,2022-04-03,69,88,21,45,59,0,0,0,0,0,0
Arizona ,2022-04-10,68,82,25,37,50,0,0,0,0,0,0
Arizona ,2022-04-17,75,94,33,39,55,0,0,0,0,0,0
Arizona ,2022-04-24,68,80,25,44,63,0,0,0,0,0,0
Arizona ,2022-05-01,76,76,24,48,66,0,0,0,0,0,0
Arizona ,2022-05-08,67,81,22,43,60,0,0,0,0,0,0
Arizona ,2022-05-15,65,70,21,44,49,0,0,0,0,0,0
Arizona ,2022-05-22,56,78,28,35,59,0,0,0,0,0,0
Arizona ,2022-05-29,56,78,18,35,48,0,0,0,0,0,0
Arizona ,2022-06-05,54,78,21,32,47,0,0,0,0,0,0
Arizona ,2022-06-12,61,80,21,32,46,0,0,0,0,0,0
Arizona ,2022-06-19,60,83,25,34,51,0,0,0,0,0,0
Arizona ,2022-06-26,45,83,23,41,46,0,0,0,0,0,0
Arizona ,2022-07-03,56,84,24,42,44,0,0,0,0,0,0
Arizona ,2022-07-10,51,81,24,39,46,0,0,0,0,0,0
Arizona ,2022-07-17,47,83,20,38,41,0,0,0,0,0,0
Arizona ,2022-07-24,52,86,22,40,48,0,0,0,0,0,0
Arizona ,2022-07-31,46,81,23,45,47,0,0,0,0,0,0
Arizona ,2022-08-07,46,91,23,44,55,0,0,0,0,0,0
Arizona ,2022-08-14,53,84,22,44,53,0,0,0,0,0,0
Arizona ,2022-08-21,42,81,24,46,50,0,0,0,0,0,0
Arizona ,2022-08-28,54,84,24,43,44,0,0,0,0,0,0
Arizona ,2022-09-04,51,78,23,42,50,0,0,0,0,0,0
Arizona ,2022-09-11,60,86,28,46,55,0,0,0,0,0,0
Arizona ,2022-09-18,63,78,22,40,55,0,0,0,0,0,0
Arizona ,2022-09-25,63,87,27,43,63,0,0,0,0,0,0
Arizona ,2022-10-02,53,81,24,41,51,0,0,0,0,0,0
Arizona ,2022-10-09,50,86,26,39,59,0,0,0,0,0,0
Arizona ,2022-10-16,51,79,23,44,47,0,0,0,0,0,0
Arizona ,2022-10-23,51,90,26,39,60,0,0,0,0,0,0
Arizona ,2022-10-30,55,75,24,41,54,0,0,0,0,0,0
Arizona ,2022-11-06,56,78,27,32,45,0,0,0,0,0,0
Arizona ,2022-11-13,57,78,34,35,56,0,0,0,0,0,0
Arizona ,2022-11-20,48,57,22,24,42,0,0,0,0,0,0
Arizona ,2022-11-27,55,67,26,37,55,0,0,0,0,0,0
Arizona ,2022-12-04,66,79,23,35,59,0,0,0,0,0,0
Arizona ,2022-12-11,59,70,26,34,40,0,0,0,0,0,0
Arizona ,2022-12-18,48,72,22,36,34,0,0,0,0,0,0
Arizona ,2022-12-25,40,63,20,32,35,0,0,0,0,0,0
Arizona ,2023-01-01,46,81,22,31,37,0,0,0,0,0,0
