week,depression,anxiety,addiction,counselling,mental_health,stay_at_home,mask_mandate,gatherings_banned,business_closures,travel_restrictions
2021-05-16,57.6,71.6,16.0,41.8,48.4,0.0,0.6,0.2,0.4,0.4
2021-05-23,48.8,68.4,21.2,41.4,42.0,0.0,0.6,0.2,0.4,0.4
2021-05-30,50.0,73.6,22.0,35.2,37.0,0.0,0.6,0.2,0.2,0.4
2021-06-06,49.2,67.4,24.4,28.8,43.2,0.0,0.6,0.2,0.2,0.4
2021-06-13,48.2,65.8,15.6,32.8,32.4,0.0,0.6,0.2,0.2,0.4
2021-06-20,43.6,67.4,15.4,32.8,37.6,0.0,0.6,0.2,0.2,0.4
2021-06-27,44.6,73.8,19.6,34.0,34.0,0.0,0.6,0.2,0.2,0.4
2021-07-04,45.6,66.8,15.4,31.6,38.0,0.0,0.6,0.2,0.2,0.4
2021-07-11,44.8,69.6,20.0,31.6,38.4,0.0,0.6,0.2,0.2,0.4
2021-07-18,47.2,72.2,26.8,36.0,38.0,0.0,0.6,0.2,0.2,0.4
2021-07-25,36.2,66.4,15.8,33.4,39.2,0.0,0.6,0.2,0.2,0.4
2021-08-01,43.2,73.2,16.0,28.2,38.6,0.0,0.6,0.2,0.2,0.4
2021-08-08,41.2,68.8,16.6,34.2,35.6,0.0,0.6,0.2,0.2,0.4
2021-08-15,48.8,74.4,16.2,35.8,35.6,0.0,0.6,0.2,0.2,0.4
2021-08-22,42.8,78.4,20.4,35.2,37.4,0.0,0.6,0.2,0.2,0.4
2021-08-29,42.8,72.8,21.0,37.2,42.6,0.0,0.6,0.2,0.2,0.4
2021-09-05,44.0,77.4,19.0,35.4,42.0,0.0,0.6,0.2,0.2,0.4
2021-09-12,41.4,82.4,27.4,31.2,45.2,0.0,0.6,0.2,0.2,0.2
2021-09-19,49.2,80.8,17.6,37.0,46.8,0.0,0.6,0.2,0.2,0.2
2021-09-26,50.2,72.8,24.0,30.4,46.4,0.0,0.6,0.2,0.2,0.2
2021-10-03,50.8,75.2,17.2,37.2,43.0,0.0,0.6,0.2,0.2,0.2
2021-10-10,52.4,79.4,28.6,38.8,55.2,0.0,0.6,0.2,0.2,0.2
2021-10-17,45.2,78.4,20.4,41.6,54.4,0.0,0.6,0.2,0.2,0.2
2021-10-24,49.2,82.2,20.2,38.0,46.0,0.0,0.6,0.2,0.2,0.2
2021-10-31,48.8,76.4,19.8,38.6,46.8,0.0,0.6,0.2,0.2,0.2
2021-11-07,62.0,73.0,27.6,37.6,51.0,0.0,0.6,0.2,0.2,0.2
2021-11-14,51.4,75.8,21.6,36.8,48.8,0.0,0.6,0.2,0.2,0.2
2021-11-21,49.4,64.6,23.4,25.2,49.6,0.0,0.6,0.2,0.2,0.2
2021-11-28,48.2,69.2,28.0,38.4,51.8,0.0,0.6,0.2,0.2,0.2
2021-12-05,53.0,75.8,34.6,37.6,44.2,0.0,0.6,0.2,0.2,0.2
2021-12-12,52.6,70.2,21.8,35.8,44.4,0.0,0.6,0.2,0.2,0.2
2021-12-19,34.0,58.0,22.6,26.2,32.6,0.0,0.6,0.2,0.2,0.2
2021-12-26,37.2,62.4,16.4,26.8,25.0,0.0,0.6,0.2,0.2,0.2
2022-01-02,45.8,74.2,21.6,32.4,29.8,0.0,0.6,0.2,0.2,0.2
2022-01-09,45.2,77.8,19.4,34.0,41.6,0.0,0.6,0.2,0.2,0.2
