week,depression,anxiety,addiction,counselling,mental_health,stay_at_home,mask_mandate,gatherings_banned,business_closures,travel_restrictions
2020-08-02,47.0,65.2,17.6,33.6,30.0,0.2,0.4,0.6,0.6,0.4
2020-08-09,45.6,64.4,17.0,35.6,25.0,0.2,0.4,0.6,0.6,0.2
2020-08-16,55.2,69.0,20.2,31.8,28.4,0.2,0.4,0.6,0.6,0.2
2020-08-23,46.2,65.6,19.4,31.6,33.6,0.2,0.4,0.6,0.6,0.2
2020-08-30,47.2,66.8,19.0,29.8,29.0,0.2,0.4,0.6,0.6,0.2
2020-09-06,53.6,69.8,20.2,33.2,32.6,0.2,0.4,0.6,0.6,0.2
2020-09-13,50.6,64.8,19.2,34.2,35.6,0.2,0.4,0.6,0.6,0.2
2020-09-20,56.0,60.6,19.4,30.2,34.8,0.2,0.4,0.6,0.6,0.2
2020-09-27,49.4,68.2,19.4,30.0,34.6,0.2,0.4,0.4,0.4,0.2
2020-10-04,50.2,61.0,19.8,31.6,46.4,0.2,0.4,0.4,0.4,0.2
2020-10-11,46.8,66.2,16.6,28.6,34.0,0.2,0.4,0.4,0.4,0.2
2020-10-18,52.6,67.4,23.0,30.6,35.4,0.2,0.4,0.4,0.4,0.2
2020-10-25,48.4,65.2,17.0,27.6,28.4,0.2,0.4,0.4,0.4,0.2
2020-11-01,44.8,50.8,15.8,21.8,23.6,0.2,0.4,0.4,0.4,0.2
2020-11-08,54.0,64.6,18.6,40.4,31.2,0.2,0.4,0.4,0.4,0.2
2020-11-15,56.8,63.0,19.6,30.4,31.0,0.2,0.4,0.4,0.4,0.2
2020-11-22,43.4,59.2,17.2,22.2,23.8,0.2,0.4,0.4,0.4,0.2
2020-11-29,54.4,65.8,20.8,34.6,29.8,0.2,0.4,0.4,0.4,0.2
2020-12-06,52.4,65.8,16.4,28.6,30.6,0.0,0.4,0.4,0.4,0.2
2020-12-13,47.2,66.8,19.0,28.2,30.8,0.0,0.4,0.4,0.4,0.2
2020-12-20,29.2,55.2,16.6,13.6,16.0,0.0,0.4,0.4,0.4,0.2
2020-12-27,43.0,56.8,12.8,23.2,18.6,0.0,0.4,0.4,0.4,0.2
2021-01-03,46.0,66.2,15.2,28.2,26.8,0.0,0.4,0.4,0.4,0.2
2021-01-10,45.2,65.6,17.4,32.0,28.8,0.0,0.4,0.4,0.4,0.2
2021-01-17,44.8,71.8,19.6,33.6,28.8,0.0,0.4,0.4,0.4,0.2
2021-01-24,52.6,71.0,17.6,34.2,31.0,0.0,0.4,0.4,0.4,0.2
2021-01-31,54.8,68.4,18.0,29.8,33.4,0.0,0.4,0.4,0.4,0.2
2021-02-07,49.2,61.6,19.6,28.4,36.4,0.0,0.4,0.4,0.4,0.2
2021-02-14,48.2,63.2,18.4,27.0,27.2,0.0,0.4,0.4,0.4,0.2
2021-02-21,48.2,68.0,20.4,31.2,34.6,0.0,0.4,0.4,0.4,0.2
2021-02-28,53.0,64.2,20.8,31.0,27.6,0.0,0.4,0.4,0.4,0.2
2021-03-07,47.8,71.6,17.4,32.4,31.0,0.0,0.2,0.4,0.4,0.2
2021-03-14,46.4,67.6,17.8,37.4,30.4,0.0,0.2,0.4,0.4,0.2
2021-03-21,49.8,68.0,17.8,31.8,35.6,0.0,0.2,0.2,0.2,0.2
2021-03-28,49.0,61.8,25.2,36.0,34.6,0.0,0.2,0.0,0.0,0.0
2021-04-04,52.8,71.4,20.4,32.6,29.2,0.0,0.2,0.0,0.0,0.0
2021-04-11,49.2,72.0,18.8,35.2,36.4,0.0,0.2,0.0,0.0,0.0
2021-04-18,50.2,67.2,20.2,31.4,30.4,0.0,0.2,0.0,0.0,0.0
2021-04-25,49.6,65.4,24.4,36.2,37.4,0.0,0.2,0.0,0.0,0.0
2021-05-02,49.2,70.0,18.6,32.0,40.6,0.0,0.2,0.0,0.0,0.0
2021-05-09,44.0,61.8,15.8,33.6,35.8,0.0,0.2,0.0,0.0,0.0
2021-05-16,48.4,67.8,17.8,32.6,39.6,0.0,0.2,0.0,0.0,0.0
2021-05-23,42.6,57.6,14.2,32.0,33.4,0.0,0.2,0.0,0.0,0.0
2021-05-30,45.2,67.0,16.0,30.6,32.6,0.0,0.0,0.0,0.0,0.0
2021-06-06,47.2,65.2,18.4,29.6,36.6,0.0,0.0,0.0,0.0,0.0
2021-06-13,43.6,63.8,13.8,28.4,36.4,0.0,0.0,0.0,0.0,0.0
